"experiment","tray","row","column","block","genotype"
"1001G",3,3,3,15,"6125"
"1001G",3,3,4,15,"8231"
"1001G",3,3,5,15,"6184"
"1001G",3,3,6,15,"6024"
"1001G",3,3,7,15,"1158"
"1001G",3,3,8,15,NA
"1001G",3,3,9,15,"6237"
"1001G",3,3,10,15,"6017"
"1001G",3,3,11,15,"6046"
"1001G",3,4,1,16,"6184"
"1001G",3,4,2,16,"6237"
"1001G",3,4,3,16,"6024"
"1001G",3,4,4,16,"1158"
"1001G",3,4,5,16,"6017"
"1001G",3,4,6,16,"6244"
"1001G",3,4,7,16,NA
"1001G",3,4,8,16,"6125"
"1001G",3,4,9,16,"8231"
"1001G",3,4,10,16,"6092"
"1001G",3,4,11,16,"6046"
"1001G",3,5,1,17,"6244"
"1001G",3,5,2,17,"1158"
"1001G",3,5,3,17,"6046"
"1001G",3,5,4,17,NA
"1001G",3,5,5,17,"6125"
"1001G",3,5,6,17,"6184"
"1001G",3,5,7,17,"8231"
"1001G",3,5,8,17,"6024"
"1001G",3,5,9,17,"6092"
"1001G",3,5,10,17,"6017"
"1001G",3,5,11,17,"6237"
"1001G",3,6,1,18,"1158"
"1001G",3,6,2,18,"6046"
"1001G",3,6,3,18,"6184"
"1001G",3,6,4,18,"8231"
"1001G",3,6,5,18,"6017"
"1001G",3,6,6,18,"6244"
"1001G",3,6,7,18,"6024"
"1001G",3,6,8,18,"6125"
"1001G",3,6,9,18,"6237"
"1001G",3,6,10,18,NA
"1001G",3,6,11,18,"6092"
"1001G",4,1,1,19,"6184"
"1001G",4,1,2,19,"6092"
"1001G",4,1,3,19,"6237"
"1001G",4,1,4,19,"6046"
"1001G",4,1,5,19,"8231"
"1001G",4,1,6,19,"6017"
"1001G",4,1,7,19,NA
"1001G",4,1,8,19,"6125"
"1001G",4,1,9,19,"1158"
"1001G",4,1,10,19,"6024"
"1001G",4,1,11,19,"6244"
"1001G",4,2,1,20,"6244"
"1001G",4,2,2,20,NA
"1001G",4,2,3,20,"6184"
"1001G",4,2,4,20,"6046"
"1001G",4,2,5,20,"6092"
"1001G",4,2,6,20,"8231"
"1001G",4,2,7,20,"6237"
"1001G",4,2,8,20,"1158"
"1001G",4,2,9,20,"6017"
"1001G",4,2,10,20,"6024"
"1001G",4,2,11,20,"6125"
"1001G",4,3,1,21,"6024"
"1001G",4,3,2,21,NA
"1001G",4,3,3,21,"6184"
"1001G",4,3,4,21,"6244"
"1001G",4,3,5,21,"6237"
"1001G",4,3,6,21,"6125"
"1001G",4,3,7,21,"6092"
"1001G",4,3,8,21,"1158"
"1001G",4,3,9,21,"8231"
"1001G",4,3,10,21,"6017"
"1001G",4,3,11,21,"6046"
"1001G",4,4,1,22,"8231"
"1001G",4,4,2,22,"6125"
"1001G",4,4,3,22,NA
"1001G",4,4,4,22,"6184"
"1001G",4,4,5,22,"6046"
"1001G",4,4,6,22,"1158"
"1001G",4,4,7,22,"6092"
"1001G",4,4,8,22,"6024"
"1001G",4,4,9,22,"6017"
"1001G",4,4,10,22,"6244"
"1001G",4,4,11,22,"6237"
"1001G",4,5,1,23,"6184"
"1001G",4,5,2,23,"6092"
"1001G",4,5,3,23,"6017"
"1001G",4,5,4,23,"6237"
"1001G",4,5,5,23,"6125"
"1001G",4,5,6,23,"1158"
"1001G",4,5,7,23,"6046"
"1001G",4,5,8,23,NA
