"experiment","tray","row","column","block","genotype"
"crosses",12,3,11,69,"8231"
"crosses",12,4,1,70,"6125"
"crosses",12,4,2,70,"1158"
"crosses",12,4,3,70,"6092"
"crosses",12,4,4,70,"8231 x 6024"
"crosses",12,4,5,70,"6024"
"crosses",12,4,6,70,"6125 x 1158"
"crosses",12,4,7,70,NA
"crosses",12,4,8,70,"8231 x 1158"
"crosses",12,4,9,70,"6092 x 1158"
"crosses",12,4,10,70,"6092 x 6024"
"crosses",12,4,11,70,"8231"
"crosses",12,5,1,71,"8231 x 1158"
"crosses",12,5,2,71,"6092"
"crosses",12,5,3,71,NA
"crosses",12,5,4,71,"6125"
"crosses",12,5,5,71,"1158"
"crosses",12,5,6,71,"6125 x 1158"
"crosses",12,5,7,71,"6092 x 1158"
"crosses",12,5,8,71,"6024"
"crosses",12,5,9,71,"6092 x 6024"
"crosses",12,5,10,71,"8231"
"crosses",12,5,11,71,"8231 x 6024"
"crosses",12,6,1,72,"6092 x 1158"
"crosses",12,6,2,72,"6024"
"crosses",12,6,3,72,NA
"crosses",12,6,4,72,"8231 x 6024"
"crosses",12,6,5,72,"8231"
"crosses",12,6,6,72,"6092"
"crosses",12,6,7,72,"6125"
"crosses",12,6,8,72,"6092 x 6024"
"crosses",12,6,9,72,"6125 x 1158"
"crosses",12,6,10,72,"1158"
"crosses",12,6,11,72,"8231 x 1158"
"crosses",13,1,1,73,"6092 x 6024"
"crosses",13,1,2,73,"8231"
"crosses",13,1,3,73,"6125 x 1158"
"crosses",13,1,4,73,"6092"
"crosses",13,1,5,73,"6125"
"crosses",13,1,6,73,"8231 x 6024"
"crosses",13,1,7,73,"8231 x 1158"
"crosses",13,1,8,73,NA
"crosses",13,1,9,73,"6092 x 1158"
"crosses",13,1,10,73,"6024"
"crosses",13,1,11,73,"1158"
"crosses",13,2,1,74,"6092 x 1158"
"crosses",13,2,2,74,"6024"
"crosses",13,2,3,74,NA
"crosses",13,2,4,74,"8231 x 1158"
"crosses",13,2,5,74,"8231 x 6024"
"crosses",13,2,6,74,"6092"
"crosses",13,2,7,74,"6125 x 1158"
"crosses",13,2,8,74,"1158"
"crosses",13,2,9,74,"6092 x 6024"
"crosses",13,2,10,74,"8231"
"crosses",13,2,11,74,"6125"
"crosses",13,3,1,75,"6125"
"crosses",13,3,2,75,"6024"
"crosses",13,3,3,75,"1158"
"crosses",13,3,4,75,"6125 x 1158"
"crosses",13,3,5,75,"6092 x 6024"
"crosses",13,3,6,75,"8231 x 1158"
"crosses",13,3,7,75,"6092 x 1158"
"crosses",13,3,8,75,"6092"
"crosses",13,3,9,75,"8231 x 6024"
"crosses",13,3,10,75,NA
"crosses",13,3,11,75,"8231"
"crosses",13,4,1,76,"8231 x 6024"
"crosses",13,4,2,76,"6092 x 1158"
"crosses",13,4,3,76,NA
"crosses",13,4,4,76,"6125"
"crosses",13,4,5,76,"6125 x 1158"
"crosses",13,4,6,76,"6092"
"crosses",13,4,7,76,"6092 x 6024"
"crosses",13,4,8,76,"6024"
"crosses",13,4,9,76,"8231"
"crosses",13,4,10,76,"1158"
"crosses",13,4,11,76,"8231 x 1158"
"crosses",13,5,1,77,NA
"crosses",13,5,2,77,"6125"
"crosses",13,5,3,77,"1158"
"crosses",13,5,4,77,"6125 x 1158"
"crosses",13,5,5,77,"6092 x 1158"
"crosses",13,5,6,77,"6024"
"crosses",13,5,7,77,"6092"
"crosses",13,5,8,77,"8231 x 6024"
"crosses",13,5,9,77,"8231"
"crosses",13,5,10,77,"8231 x 1158"
"crosses",13,5,11,77,"6092 x 6024"
"crosses",13,6,1,78,"6092"
"crosses",13,6,2,78,"8231 x 1158"
"crosses",13,6,3,78,NA
"crosses",13,6,4,78,"1158"
"crosses",13,6,5,78,"6092 x 6024"
"crosses",13,6,6,78,"8231 x 6024"
"crosses",13,6,7,78,"6125"
"crosses",13,6,8,78,"6024"
"crosses",13,6,9,78,"6125 x 1158"
"crosses",13,6,10,78,"8231"
"crosses",13,6,11,78,"6092 x 1158"
"crosses",14,1,1,79,"6125 x 1158"
"crosses",14,1,2,79,"6092"
"crosses",14,1,3,79,"6092 x 6024"
"crosses",14,1,4,79,"6024"
"crosses",14,1,5,79,"8231 x 6024"
"crosses",14,1,6,79,"6125"
"crosses",14,1,7,79,"8231 x 1158"
"crosses",14,1,8,79,"6092 x 1158"
"crosses",14,1,9,79,"8231"
"crosses",14,1,10,79,"1158"
"crosses",14,1,11,79,NA
"crosses",14,2,1,80,"1158"
"crosses",14,2,2,80,NA
"crosses",14,2,3,80,"8231"
"crosses",14,2,4,80,"6092 x 6024"
"crosses",14,2,5,80,"8231 x 1158"
"crosses",14,2,6,80,"6092 x 1158"
"crosses",14,2,7,80,"6125"
"crosses",14,2,8,80,"8231 x 6024"
"crosses",14,2,9,80,"6125 x 1158"
"crosses",14,2,10,80,"6092"
"crosses",14,2,11,80,"6024"
"crosses",14,3,1,81,"6092"
"crosses",14,3,2,81,"8231 x 6024"
"crosses",14,3,3,81,"6092 x 1158"
"crosses",14,3,4,81,"8231"
"crosses",14,3,5,81,"1158"
"crosses",14,3,6,81,"6125 x 1158"
"crosses",14,3,7,81,"6125"
"crosses",14,3,8,81,"6092 x 6024"
"crosses",14,3,9,81,"8231 x 1158"
"crosses",14,3,10,81,"6024"
"crosses",14,3,11,81,NA
"crosses",14,4,1,82,"6092"
"crosses",14,4,2,82,"6092 x 1158"
"crosses",14,4,3,82,"8231 x 6024"
"crosses",14,4,4,82,"6125"
"crosses",14,4,5,82,"8231 x 1158"
"crosses",14,4,6,82,"6125 x 1158"
"crosses",14,4,7,82,"6024"
"crosses",14,4,8,82,"1158"
"crosses",14,4,9,82,"6092 x 6024"
"crosses",14,4,10,82,"8231"
"crosses",14,4,11,82,NA
"crosses",14,5,1,83,"8231 x 1158"
"crosses",14,5,2,83,"6125"
"crosses",14,5,3,83,"6092"
"crosses",14,5,4,83,"1158"
"crosses",14,5,5,83,"6024"
"crosses",14,5,6,83,"6092 x 6024"
"crosses",14,5,7,83,"6092 x 1158"
"crosses",14,5,8,83,"8231 x 6024"
"crosses",14,5,9,83,"6125 x 1158"
"crosses",14,5,10,83,"8231"
"crosses",14,5,11,83,NA
"crosses",14,6,1,84,NA
"crosses",14,6,2,84,"6092"
"crosses",14,6,3,84,"6092 x 6024"
"crosses",14,6,4,84,"8231"
"crosses",14,6,5,84,"8231 x 1158"
"crosses",14,6,6,84,"6092 x 1158"
"crosses",14,6,7,84,"6024"
"crosses",14,6,8,84,"6125"
"crosses",14,6,9,84,"6125 x 1158"
"crosses",14,6,10,84,"1158"
"crosses",14,6,11,84,"8231 x 6024"
"crosses",15,1,1,85,"1158"
"crosses",15,1,2,85,"6125"
"crosses",15,1,3,85,"6092 x 1158"
"crosses",15,1,4,85,"8231"
"crosses",15,1,5,85,"6092 x 6024"
"crosses",15,1,6,85,"8231 x 6024"
"crosses",15,1,7,85,"6125 x 1158"
"crosses",15,1,8,85,"6024"
"crosses",15,1,9,85,"8231 x 1158"
"crosses",15,1,10,85,NA
"crosses",15,1,11,85,"6092"
"crosses",15,2,1,86,"6125"
"crosses",15,2,2,86,"1158"
"crosses",15,2,3,86,"6092 x 1158"
"crosses",15,2,4,86,NA
"crosses",15,2,5,86,"8231"
"crosses",15,2,6,86,"8231 x 1158"
"crosses",15,2,7,86,"6024"
"crosses",15,2,8,86,"6125 x 1158"
"crosses",15,2,9,86,"6092"
"crosses",15,2,10,86,"6092 x 6024"
"crosses",15,2,11,86,"8231 x 6024"
"crosses",15,3,1,87,"1158"
"crosses",15,3,2,87,"6125 x 1158"
"crosses",15,3,3,87,"6092 x 1158"
"crosses",15,3,4,87,"8231"
"crosses",15,3,5,87,"6024"
"crosses",15,3,6,87,"6092"
"crosses",15,3,7,87,"6125"
"crosses",15,3,8,87,"8231 x 6024"
"crosses",15,3,9,87,"6092 x 6024"
"crosses",15,3,10,87,"8231 x 1158"
"crosses",15,3,11,87,NA
"crosses",15,4,1,88,"6092"
"crosses",15,4,2,88,"6125 x 1158"
"crosses",15,4,3,88,"6125"
"crosses",15,4,4,88,"1158"
"crosses",15,4,5,88,"8231 x 6024"
"crosses",15,4,6,88,NA
"crosses",15,4,7,88,"6024"
"crosses",15,4,8,88,"8231"
"crosses",15,4,9,88,"8231 x 1158"
"crosses",15,4,10,88,"6092 x 6024"
"crosses",15,4,11,88,"6092 x 1158"
"crosses",15,5,1,89,"6092 x 6024"
"crosses",15,5,2,89,NA
"crosses",15,5,3,89,"6125 x 1158"
"crosses",15,5,4,89,"6092 x 1158"
"crosses",15,5,5,89,"6024"
"crosses",15,5,6,89,"8231"
"crosses",15,5,7,89,"1158"
"crosses",15,5,8,89,"6092"
"crosses",15,5,9,89,"8231 x 6024"
"crosses",15,5,10,89,"6125"
"crosses",15,5,11,89,"8231 x 1158"
"crosses",15,6,1,90,"6125 x 1158"
"crosses",15,6,2,90,"1158"
"crosses",15,6,3,90,"8231 x 1158"
"crosses",15,6,4,90,"8231 x 6024"
"crosses",15,6,5,90,"6125"
"crosses",15,6,6,90,"8231"
"crosses",15,6,7,90,"6092 x 6024"
"crosses",15,6,8,90,"6092"
"crosses",15,6,9,90,NA
"crosses",15,6,10,90,"6024"
"crosses",15,6,11,90,"6092 x 1158"
